,date,text
10,2024-01-10,"Crypto investors await today's SEC decision on bitcoin ETFsOn Tuesday, the Securities and Exchange Commission's (SEC) X account was reportedly compromised as it issued a false report of approving a spot bitcoin ETF. Wednesday, January 10 (today) is the deadline date for the SEC's decision on bitcoin ETFs. Bitcoin (BTC-USD) hovers just above $45,000 Wednesday morning. Yahoo Finance's Julie Hyman joins the Live show to comment on the situation and weigh the benefits and risks tied to pending bitcoin ETFs, including crypto volatility and ETF fees. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan."
11,2024-01-10,"JPMorgan's Jamie Dimon slams bitcoin as worthless and a tool for criminals - and warns a recession could hit this yearBitcoin helps terrorists and sex traffickers, while dwindling consumer savings and foreign conflicts could hit the US economy, Jamie Dimon said."
12,2024-01-10,"UPDATE 2-Egypt's dollar bonds rally after Yellen signals supportEgypt's sovereign dollar bonds rallied more than 1.6 cents on Wednesday after U.S. Treasury Secretary Janet Yellen pledged support for the economy of the North African country that is under pressure to deliver bigger reforms.  All of Egypt's dollar bonds rallied, with the March 2024 maturity bid at 98 cents on the dollar, Tradeweb data showed.  Gergely Urmossy, emerging markets strategist at Societe Generale, said relatively cheap Eurobond valuations could be attracting investors, particularly after Yellen's comments and as Egyptian authorities advance talks with the International Monetary Fund to expand a $3 billion loan programme."
13,2024-01-10,"How to think about bitcoin ETFs and your portfolioAfter a wild chapter in the bitcoin ETF approval process, investors are still left with the question, assuming an approval will eventually come: Should you buy?"
14,2024-01-10,Trending tickers: Bitcoin | Greggs | Sainsbury’s | TeslaThe latest investor updates on stocks that are trending on Wednesday.
15,2024-01-10,"LIVE: FTSE down and Wall Street up as UK inflation to fall below 2% by springAccording to Deutsche Bank, UK CPI inflation will average 2.5% year-on-year in 2024, down from a previous forecast of 2.7%."
16,2024-01-10,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF ApprovalJust under half of the bitcoin supply was in profit at the start of last year.
17,2024-01-10,"Rupee extends rising streak into sixth day on dollar inflowsThe Indian rupee recouped early losses to end higher for a sixth consecutive session on likely foreign inflows.  ""Dollar inflows have kept the rupee the top performer among Asian currencies,"" Dilip Parmar, a foreign exchange research analyst at HDFC Securities, said.  ""We will have to see if the move is sustainable given considering how the RBI (Reserve Bank of India) has absorbed such inflows in the past."""
18,2024-01-10,"Why tax cuts in 2024 might not leave you paying lessNational insurance has been slashed. Now we’re hearing rumours of a raft of potential cuts. Unfortunately, this is nowhere near as good as it sounds."
19,2024-01-10,"Dollar trades in tight range ahead of key U.S. inflation releaseThe U.S. dollar edged lower Wednesday, trading in a tight range with traders on edge before key U.S. inflation data that could influence the future path of interest rates.  The dollar has rebounded from December’s 2% fall as the traders have chosen the new year to reassess the likely speed and magnitude of the interest rate cuts most expect the Federal Reserve to deliver in 2024.  The Fed's surprising dovish tilt in December has resulted in the market projecting around 150 basis points of cuts this year, but this is reliant on inflation continuing to retreat."
20,2024-01-10,"Everyone Wants the SEC’s Fake News to Be RealThe agency said for months it couldn’t approve bitcoin ETFs because of market manipulation. Then, in a delicious irony, it was itself manipulated, showing how even non-news can move markets."
21,2024-01-10,"Tokenized Treasuries’ Surging Demand Prompts Yield-Bearing Offering by Enigma SecuritiesU.S. Treasuries are a gateway for tokenization efforts, and has grown to a $850 million market from $100 million over the past year, rwa.xyz data shows."
22,2024-01-10,"Did the Fake Bitcoin ETF Announcement Prove an SEC Approval Is a 'Sell-the-News' Event?The SEC's social media account was hacked to say the much-anticipated financial product was approved, perhaps answering the question of what will happen when it actually happens."
23,2024-01-10,Hedera-Based Tune.FM Raises $20M for Artist-Friendly Web3 Music PlatformTune.FM provides musicians with a platform to receive micropayments for streaming in its native JAM token (JAM).
24,2024-01-10,"We Tried Fox's Blockchain-Based Tool for Deepfake Detection. Here's How It WentFox's new blockchain tool might not help consumers suss out deep fakes, but it could be a boon to publishers struggling to navigate the AI age. We kicked the tires on the new technology."
25,2024-01-10,"Beyond the ETF: Crypto Innovations to Watch in 2024While most market watchers are focused on bitcoin ETFs at the moment, Decentralized Physical Infrastructure Networks (DePIN) and Real World Assets (RWA) hold a lot of long-term promise, says Colton Dillion, CEO of Hedgehog."
26,2024-01-10,"Making Sense of Web3’s Burgeoning AI EcosystemAlthough the intersection of Web3 and AI has great potential, there is a lot of confusion about this emerging technology in the market today. Mapping out the GPU supply chain, layers of the tech stack, and various competitive landscapes can help investors better understand the ecosystem and make more informed investment decisions, says David Attermann, at M31 Capital."
27,2024-01-10,Arthur Hayes Joins Decentralized AI platform RitualBitMEX co-founder Arthur Hayes has joined decentralized AI platform Ritual as an adviser with the aim of committing to the financialization of the AI industry.
28,2024-01-10,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' ReferenceJokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain."
29,2024-01-10,"First Mover Americas: Ether, Lido DAO, Arbitrum Gain on Possibility of ETH ETF The latest price moves in bitcoin [BTC] and crypto markets in context for Jan. 10, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets."
30,2024-01-10,"BlackRock, ARK 21Shares Follow Rivals in Cutting Bitcoin ETF FeesThe SEC is expected to approve multiple ETFs at the same time, meaning the different providers will tussle for market share using fee structure as one of the main weapons."
31,2024-01-10,"Turkey Will Conclude Technical Studies for Crypto Legislation Soon: Finance MinisterUnder draft proposals, crypto firms will be required to obtain licenses from the country’s capital markets regulator."
32,2024-01-10,"Brevan Howard, Hamilton Lane Back New Tokenization Platform LibreFreshly out of stealth, Libre is also working with Nomura’s Laser Digital unit and has been built using Polygon’s chain development kit by tokenization pioneer Avtar Sehra."
33,2024-01-10,"Ether Jumps Over $2.4K as Traders Bet on Possible Ether ETF NextBlackRock had previously filed an S-1 form with the U.S. Securities and Exchange Commission (SEC) for its iShares Ethereum Trust, a spot ether exchange-traded fund (ETF)."
34,2024-01-10,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF ApprovalJust under half of the bitcoin supply was in profit at the start of last year.
35,2024-01-10,"Bitcoin Traders Seek Protection From Price Declines as ETF Deadline Looms: DeribitPuts are overbought and calls [are] being sold, Deribit's CCO Luuk Strijers told CoinDesk, noting the decline in the bitcoin implied volatility index."
36,2024-01-10,"Fake Bitcoin ETF Approval Tweet Causes $90M in LiquidationsThose tweets caused bitcoin prices to immediately spike to $47,680 from the $46,800 level. It then fell as low as $45,400 as the tweets were found to be fake."
37,2024-01-10,"Binance, KuCoin, Other Exchanges, Served Notice by Indian Government Removed From Apple’s App StoreApple has removed Binance, KuCoin and other offshore cryptocurrency exchanges from its India app store days after nine such entities were sent compliance show cause notices by the Indian government."
38,2024-01-10,Crypto OTC Volumes on Wintermute Soared 400% in 2023The market maker said the uptick in over-the-counter trading was due to volumes moving off-exchange.
39,2024-01-10,"PayPal's Stablecoin Part of Third Largest Liquidity Pool on CurveCurve's FRAXPYUSD liquidity pool, which went live on Dec. 27, boasts the third largest TVL of $135 million."
40,2024-01-10,"Hacker Seized SEC Phone Number to Post Fake Bitcoin ETF Approval, X SaysThe Securities and Exchange Commission (SEC) did not employ basic security measures on its X (formerly Twitter) account when it was ""compromised"" to spread false bitcoin ETF news, according to the social media company."
41,2024-01-10,"Crypto Boosters Attack SEC for 'Manipulating' BTC Market After ETF TweetLawmakers and crypto boosters are asking questions about how the SEC's X (formerly Twitter) account was compromised, leading to a bogus tweet on Tuesday."
42,2024-01-10,Crypto Custodian BitGo Wins In-Principle Approval as Major Payments Institution in SingaporeCrypto custodian BitGo has been granted in-principle approval to operate as a Major Payment Institution (MPI) in Singapore.
43,2024-01-09,"Bitcoin Jumps, Then Dumps to $45K as Fake News About Spot Bitcoin Approval Liquidates $50MThe immediate price reaction showed that bitcoin's price might be capped if a real approval arrives, one analyst noted."
44,2024-01-09,"Spot Bitcoin ETF Approval Will Trigger 'Selling Pressure' on CME Futures Market: K33Bitcoin futures' open interest on the Chicago Mercantile Exchange surged to an all-time high Tuesday as institutions piled into the asset, speculating on a spot bitcoin ETF approval."
45,2024-01-09,"SEC Has Not Approved Bitcoin ETFs, but Its Hacked X Account Briefly Said OtherwiseThe U.S. Securities and Exchange Commission (SEC) has not approved any spot bitcoin ETF applications as of Tuesday afternoon, despite a tweet from the regulator's X (formerly Twitter) account saying they had been, the agency's chair said."
46,2024-01-09,"No, a Trump Victory Might Be Bad for CryptoA response to Politico’s article predicting good times if the ex-POTUS wins re-election."
47,2024-01-09,"Bitcoin Developer's Proposal to Stop 'Spam' NFTs Gets Shut DownLuke Dashjr's technical proposal sounded innocuous enough: to make the popular Bitcoin Core software ""effective with newer datacarrying styles."" In reality, the effort represented a sophisticated but controversial plan to block the suddenly popular ""inscriptions"" known as ""NFTs on Bitcoin."""
48,2024-01-09,"Dogecoin's 9% Swing Amid Fake Rumor of Mascot's Death Riles Up Crypto EnthusiastsThe volatile episode came at a time when the crypto industry anxiously awaits a spot bitcoin ETF approval, a landmark for the asset class' maturation."
49,2024-01-09,"Bitcoin ETFs Could See Up to $100B in Inflows If SEC Approves: Standard CharteredAnalysts from Standard Chartered, Galaxy and Corestone predict that a spot bitcoin ETF could see over $1 billion in inflows over just the first quarter."
50,2024-01-09,"Amid Bitcoin ETF Fee War, Grayscale Stands Its Ground With Priciest ProductValkyrie, Invesco and Bitwise lowered their fees further just hours after all rivals finally revealed their fee plans."
51,2024-01-09,"New York's Crypto BitLicense Oversight Criticized by State's ComptrollerThe New York Department of Financial Services (DFS) is drawing some internal heat over whether it's doing a good job overseeing crypto activity through its BitLicense program, according to a review from New York State Comptroller Thomas DiNapoli."
52,2024-01-09,Bitcoin ETF Fever Drives Ethereum to 32-Month Low Versus BTCEther has lost 43% of its value against bitcoin since Sept. 7.
53,2024-01-09,"Fox, Polygon Release Blockchain-Powered Tool 'Verify' to Weed Out Deepfakes""Verify"" is an open-source protocol built on Polygon's PoS blockchain, specifically used to establish the origin and history of registered media."
54,2024-01-09,El Salvador's BTC Bet Is $13M in Profit as Bitcoin ETF Approval ApproachesEl Salvador is sitting on a $12.6 million unrealized profit on its bitcoin investment after being in the red for two years.
55,2024-01-09,"First Mover Americas: Bitcoin Holds Above $46K Amid ETF AnticipationThe latest price moves in bitcoin [BTC] and crypto markets in context for Jan. 9, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets."
56,2024-01-09,"U.S. Arrests 'Bitcoin Rodney,' Alleged HyperVerse Crypto Scheme Promoter, on IRS Charges of FraudRodney Burton was arrested on Friday in Florida and will be transferred to Maryland."
57,2024-01-09,"BlackRock, VanEck and Others Update Bitcoin ETF Filing Within Hours of Quick SEC ResponseBlackRock and VanEck, two among 13 issuers hoping to launch bitcoin exchange-traded funds (ETFs) in the U.S., have filed updated documents on Tuesday."
58,2024-01-09,"'Grayscale Discount' Sinks to Lowest in 18 Months on Bets for GBTC Conversion to Bitcoin ETFData shows the discount fell to as low as 5.6% on Monday, reaching a level previously seen in June 2021."
59,2024-01-09,"DeFi Identity Should Be Focus of U.S. Policymakers, CFTC SaysThe Commodity Futures Trading Commission wants U.S. policymakers to evaluate options for regulating the issue of identity information in decentralized finance, a report published Monday said."
60,2024-01-09,Jim Cramer Now Says Bitcoin Is 'Topping Out'Cramer’s picks have the tendency to move in the opposite direction he touts.
61,2024-01-09,"Bitcoin ETF Approval Expected Soon, Bears Lose $100MFutures tracking crypto markets saw some $155 million in shorts liquidated in the past 24 hours after a sudden uptick in prices in U.S. hours."
62,2024-01-09,Bitcoin Decouples From Nasdaq Amid ETF SpeculationThe 40-day correlation between the two has declined to zero.
63,2024-01-09,"SEC Hustles to Answer Latest Bitcoin ETF Filings: SourceOfficials with the U.S. Securities and Exchange Commission sent comments to the issuers of a set of bitcoin exchange-traded fund (ETF) filings just hours after the companies filed their amended S-1 documents, which listed fees for their proposed products."
64,2024-01-08,"BTC Blasts Past $47K as Bitcoin ETF Excitement Gets FeverishBitcoin could rally 10%-15% more in case the SEC approves spot bitcoin ETFs, LMAX strategist Joel Kruger noted."
65,2024-01-08,"Bitcoin ETFs: The Bear CaseBitcoin exchange traded funds may not actually be approved, due to the SEC’s long-held concerns about market manipulation. And, if they are, they could change the nature of Bitcoin itself, to the detriment of Satoshi Nakamoto’s original vision, say critics."
66,2024-01-08,"Mysterious $1.2M Bitcoin Transaction to Satoshi Nakamoto Sparks SpeculationsThe wallet receiving the hefty payout is the address that mined the Bitcoin network's first-ever block reward some 15 years ago, commencing the start of the blockchain."
67,2024-01-08,"Bitcoin ETFs: The Bull CaseOne train of thought says that SEC approval of spot bitcoin ETF will send the market flying. Here’s how that could play out. In a separate post, we review the bear case, where the market may not react with such optimism."
68,2024-01-08,"Bitwise Tops Bitcoin ETF Low-Fee Table, While Grayscale Bets on SizeJust one potential spot bitcoin ETF issuer has set a management fee above 1%, and many of the others are asking for less than 0.5%."
69,2024-01-08,"With Bitcoin ETF Decision Looming, SEC Chair Gensler Says (Again) That Crypto Is DangerousThe entire crypto world and much of the U.S. financial sector is anxiously awaiting word from the U.S. Securities and Exchange Commission (SEC) on whether it will approve a spot bitcoin exchange-traded fund (ETF). SEC Chair Gary Gensler has chosen this moment to issue a broad warning about the hazards to investors of getting into digital assets."
70,2024-01-10,"Bitcoin trades above $46k ahead of SEC ETF decision: Will it rally higher?Key takeaways Bitcoin is trading above $46k as market experts expect the US SEC to approve a spot Bitcoin ETF soon. Bitbot&#8217;s presale is launching in a week and the project seeks to make trading easier for users.&#160; The cryptocurrency market has been performing well over the last few hours, with Bitcoin trading above $46k. [&#8230;]"
71,2024-01-10,Turkey’s crypto regulation is at the final stage: reportTurkey&#8217;s crypto regulation seeks to align the country&#8217;s anti-money laundering laws with the scope of the Financial Action Task Force (FATF) as it looks to get off the &#8220;grey list&#8221;. Minister of Treasury and Finance Mehmet Simsek says the crypto asset regulation framework has reached the technical stage. Turkey has advanced the legal framework for [&#8230;]
72,2024-01-10,BitGo receives in-principle approval in SingaporeSingapore&#8217;s financial regulator has granted crypto custody firm BitGo an in-principle approval. The licence allows BitGo to operate as a Major Payments Instutition (MPI) provider in the country. Digital asset custody provider BitGo has received a regulatory nod from the Monetary Authority of Singapore (MAS). The crypto company said in an announcement on Wednesday that [&#8230;]
73,2024-01-10,"Bitget Reaffirms Industry-Leading Reserve Strength with Latest PoR Ratio of 175%Victoria, Seychelles, January 10th, 2024, Chainwire Bitget, the world&#8217;s leading cryptocurrency exchange and Web3 company, has launched its most recent monthly Proof of Reserves (PoR) report, demonstrating its industry-leading commitment to transparency with a robust total reserve ratio of 175%. This regularly-released PoR disclosure underscores Bitget&#8217;s unwavering pledge to maintain 100% backing for user funds [&#8230;]"
74,2024-01-10,"BlockGuard and Pixelette Technologies forge a strategic DeFi partnershipBlockGuard and Pixelette form a strategic DeFi partnership. Asif Ashiq Rana, Pixelette&#8217;s CEO, joins BlockGuard as an advisor, bringing expertise in blockchain and AI. The collaboration focuses on BlockGuard&#8217;s vision for transparent, efficient, and accessible Web3 risk management. Web3 platform BlockGuard has inked an equity partnership with Pixelette Technologies, a leading London-based blockchain and IT [&#8230;]"
75,2024-01-10,"Celsius initiates recovery of large pre-bankruptcy withdrawalsCelsius Creditors withdrawing $100k+ pre-bankruptcy face legal action and must comply for future distributions. Celsius&#8217; post-bankruptcy Bitcoin mining focus approved; Ethereum unstaked for timely creditor repayments. Legal challenges persist; CEO Alex Mashinsky faces fraud charges; $4.7B FTC settlement hinges on successful bankruptcy completion. In a strategic move amidst its post-bankruptcy revival, Celsius, the crypto lending [&#8230;]"
76,2024-01-10,"Metacade fuels 2024 blockchain gaming revolution: partnerships and investment insightsMetacade shapes 2024 gaming with strategic partnerships and diverse blockchain game offerings. Yat Siu, Animoca Brands&#8217; executive chairman, anticipates a blockchain gaming resurgence in 2024. Evaluation of $MCADE token reveals a clear roadmap, buyback mechanism, and active community. The gaming industry is set for a dynamic transformation in 2024, with blockchain games taking centre stage. [&#8230;]"
77,2024-01-10,"Binance, Kraken apps removed from App Store in India; implications for Pullix?Apple has removed Binance, Kraken, MEXC and Kucoin apps from its App Store in India. Meanwhile, new exchange platform Pullix (PLX) continues to see great traction during its presale. Trading on a hybrid exchange means users have access not just to liquidity, but also to all the robust security features that make top CEX platforms [&#8230;]"
78,2024-01-10,"Analyst’s top DeFi coins to rally in January – Polygon, Ripple, and NuggetRushNuggetRush&#8217;s mining game has attracted many users who have pushed the token from $0.010 to $0.015. Crypto Analyst Ali Charts foresees Polygon rising as high as $0.96. Ripple whales are currently on the move as they sent 126.7 million XRP. Analysts have picked Polygon, Ripple, and NuggetRush (NUGX) as their top DeFi coins for gains [&#8230;]"
79,2024-01-10,"JPMorgan CEO Jamie Dimon Says Bitcoin Has No ValueJPMorgan CEO Jamie Dimon reiterated his criticism of Bitcoin, emphasizing his belief that the world's largest cryptocurrency ""doesn't have value.""<p class=""has-text-align-right""><a href=""https://coincu.com/241773-jpmorgan-ceo-jamie-dimon-says-bitcoin-no-value/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
80,2024-01-10,"Spot Bitcoin ETF Approval Has Not Yet Happened Yet, But Bitcoin Price Is Falling SharplySpot Bitcoin ETF approval anticipation with analysts predicts a positive decision today between 4-6 p.m. EST, despite earlier confusion.<p class=""has-text-align-right""><a href=""https://coincu.com/241767-spot-bitcoin-etf-approval-not-yet-happened/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
81,2024-01-10,"Spot Bitcoin ETF Trading Approved By CBOE ExchangeCBOE has asked the SEC to fast-track approval for ARK 21Shares and Invesco Galaxy Bitcoin ETFs, signaling support for spot Bitcoin ETF trading.<p class=""has-text-align-right""><a href=""https://coincu.com/241762-spot-bitcoin-etf-trading-approved-by-cboe/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
82,2024-01-10,"SBF Hires New Attorney Ahead of Sentencing HearingFTX founder Sam Bankman-Fried (SBF) has taken a strategic legal move, submitting notice to the U.S. Federal Court of his decision to hire a new legal team ahead of the sentencing hearing on seven criminal charges. <p class=""has-text-align-right""><a href=""https://coincu.com/241756-sbf-hires-new-attorney-of-sentencing-hearing/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
83,2024-01-10,"X Has Removed Support for NFT Profile PicturesX the renowned platform that once embraced the trend of NFT profile pictures, has decided to remove support for them. <p class=""has-text-align-right""><a href=""https://coincu.com/241750-x-has-removed-support-for-nft-profile-pictures/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
84,2024-01-10,"EigenLayer Plans To Introduce Three New Liquid Staking Tokens on January 30The re-staking protocol EigenLayer is set to unveil three new liquid staking tokens (LST) on January 30. <p class=""has-text-align-right""><a href=""https://coincu.com/241745-eigenlayer-new-liquid-staking-tokens-january-30/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
85,2024-01-10,"Cosmos Will Launch Cosmos Hub Improvement Process “CHIP” in 2024Cosmos Hub recently unveiled a groundbreaking concept known as ""Partial Set Security."" <p class=""has-text-align-right""><a href=""https://coincu.com/241738-cosmos-hub-improvement-process-chip-in-2024/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
86,2024-01-10,"Cex Data’s Remarkable 20% Jump in Spot Trading and Derivatives!The spot trading volume across major exchanges experienced a substantial surge, recording an impressive 27.4% month-on-month increase in December. <p class=""has-text-align-right""><a href=""https://coincu.com/241732-cex-datas-20-jump-spot-trading-and-derivatives/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
87,2024-01-10,"Bloomberg’s Senior ETF Analyst Anticipates Spot Bitcoin ETF Approvals Today: All Systems Go!Bloomberg's Senior ETF Analyst, Eric Balchunas, has heralded the eagerly awaited ""ETF Approval Day"" for spot Bitcoin ETFs. <p class=""has-text-align-right""><a href=""https://coincu.com/241724-spot-bitcoin-etf-approvals-today-all-systems-go/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
88,2024-01-10,"“Google Analytics for Web3” Cookie3 Integrates Chainwire for PR Distribution and MonitoringTel Aviv, Israel, January 10th, 2024, Chainwire Cookie3, an attribution and user analytics platform for Web3 marketers, has announced a partnership with the industry’s leading crypto PR distribution platform, Chainwire. The partnership will enable Cookie3 clients to access Chainwire’s best-in-class PR capabilities and Chainwire’s clients to receive better user and attribution analytics for their campaigns.<p class=""has-text-align-right""><a href=""https://coincu.com/241722-google-analytics-for-web3-cookie3-integrates-chainwire-for-pr-distribution-and-monitoring/"" target=""_blank"">Read more...</a></p><p class=""has-text-align-right""><a href=""https://coincu.com""><strong>Coincu News</strong></a></p>
"
