,Unnamed: 0,title,description,url,date,text,label
10,10,JPMorgan's Jamie Dimon slams bitcoin as worthless and a tool for criminals - and warns a recession could hit this year,"Bitcoin helps terrorists and sex traffickers, while dwindling consumer savings and foreign conflicts could hit the US economy, Jamie Dimon said.",https://markets.businessinsider.com/news/currencies/jamie-dimon-jpmorgan-bitcoin-crypto-recession-inflation-fed-rate-cuts-2024-1?.tsrc=rss,2024-01-10,"JPMorgan's Jamie Dimon slams bitcoin as worthless and a tool for criminals - and warns a recession could hit this yearBitcoin helps terrorists and sex traffickers, while dwindling consumer savings and foreign conflicts could hit the US economy, Jamie Dimon said.",1
11,11,UPDATE 2-Egypt's dollar bonds rally after Yellen signals support,"Egypt's sovereign dollar bonds rallied more than 1.6 cents on Wednesday after U.S. Treasury Secretary Janet Yellen pledged support for the economy of the North African country that is under pressure to deliver bigger reforms.  All of Egypt's dollar bonds rallied, with the March 2024 maturity bid at 98 cents on the dollar, Tradeweb data showed.  Gergely Urmossy, emerging markets strategist at Societe Generale, said relatively cheap Eurobond valuations could be attracting investors, particularly after Yellen's comments and as Egyptian authorities advance talks with the International Monetary Fund to expand a $3 billion loan programme.",https://finance.yahoo.com/news/1-egypts-dollar-bonds-rally-113640989.html?.tsrc=rss,2024-01-10,"UPDATE 2-Egypt's dollar bonds rally after Yellen signals supportEgypt's sovereign dollar bonds rallied more than 1.6 cents on Wednesday after U.S. Treasury Secretary Janet Yellen pledged support for the economy of the North African country that is under pressure to deliver bigger reforms.  All of Egypt's dollar bonds rallied, with the March 2024 maturity bid at 98 cents on the dollar, Tradeweb data showed.  Gergely Urmossy, emerging markets strategist at Societe Generale, said relatively cheap Eurobond valuations could be attracting investors, particularly after Yellen's comments and as Egyptian authorities advance talks with the International Monetary Fund to expand a $3 billion loan programme.",0
12,12,How to think about bitcoin ETFs and your portfolio,"After a wild chapter in the bitcoin ETF approval process, investors are still left with the question, assuming an approval will eventually come: Should you buy?",https://finance.yahoo.com/news/how-to-think-about-bitcoin-etfs-and-your-portfolio-110007877.html?.tsrc=rss,2024-01-10,"How to think about bitcoin ETFs and your portfolioAfter a wild chapter in the bitcoin ETF approval process, investors are still left with the question, assuming an approval will eventually come: Should you buy?",0
13,13,Trending tickers: Bitcoin | Greggs | Sainsbury’s | Tesla,The latest investor updates on stocks that are trending on Wednesday.,https://uk.finance.yahoo.com/news/trending-tickers-bitcoin-greggs-sainsburys-tesla-105248093.html?.tsrc=rss,2024-01-10,Trending tickers: Bitcoin | Greggs | Sainsbury’s | TeslaThe latest investor updates on stocks that are trending on Wednesday.,0
14,14,LIVE: FTSE down and Wall Street up as UK inflation to fall below 2% by spring,"According to Deutsche Bank, UK CPI inflation will average 2.5% year-on-year in 2024, down from a previous forecast of 2.7%.",https://uk.finance.yahoo.com/news/ftse-european-stock-markets-sec-bitcoin-etf-wall-street-092658587.html?.tsrc=rss,2024-01-10,"LIVE: FTSE down and Wall Street up as UK inflation to fall below 2% by springAccording to Deutsche Bank, UK CPI inflation will average 2.5% year-on-year in 2024, down from a previous forecast of 2.7%.",1
15,15,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF Approval,Just under half of the bitcoin supply was in profit at the start of last year.,https://finance.yahoo.com/news/btc-supply-profit-nears-90-092235798.html?.tsrc=rss,2024-01-10,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF ApprovalJust under half of the bitcoin supply was in profit at the start of last year.,1
16,16,Rupee extends rising streak into sixth day on dollar inflows,"The Indian rupee recouped early losses to end higher for a sixth consecutive session on likely foreign inflows.  ""Dollar inflows have kept the rupee the top performer among Asian currencies,"" Dilip Parmar, a foreign exchange research analyst at HDFC Securities, said.  ""We will have to see if the move is sustainable given considering how the RBI (Reserve Bank of India) has absorbed such inflows in the past.""",https://sg.finance.yahoo.com/news/rupee-drops-weak-asian-cues-071502473.html?.tsrc=rss,2024-01-10,"Rupee extends rising streak into sixth day on dollar inflowsThe Indian rupee recouped early losses to end higher for a sixth consecutive session on likely foreign inflows.  ""Dollar inflows have kept the rupee the top performer among Asian currencies,"" Dilip Parmar, a foreign exchange research analyst at HDFC Securities, said.  ""We will have to see if the move is sustainable given considering how the RBI (Reserve Bank of India) has absorbed such inflows in the past.""",0
17,17,Why tax cuts in 2024 might not leave you paying less,"National insurance has been slashed. Now we’re hearing rumours of a raft of potential cuts. Unfortunately, this is nowhere near as good as it sounds.",https://uk.finance.yahoo.com/news/tax-cuts-2024-060006060.html?.tsrc=rss,2024-01-10,"Why tax cuts in 2024 might not leave you paying lessNational insurance has been slashed. Now we’re hearing rumours of a raft of potential cuts. Unfortunately, this is nowhere near as good as it sounds.",0
18,18,Dollar trades in tight range ahead of key U.S. inflation release,"The U.S. dollar edged lower Wednesday, trading in a tight range with traders on edge before key U.S. inflation data that could influence the future path of interest rates.  The dollar has rebounded from December’s 2% fall as the traders have chosen the new year to reassess the likely speed and magnitude of the interest rate cuts most expect the Federal Reserve to deliver in 2024.  The Fed's surprising dovish tilt in December has resulted in the market projecting around 150 basis points of cuts this year, but this is reliant on inflation continuing to retreat.",https://finance.yahoo.com/news/dollar-trades-tight-range-ahead-043237111.html?.tsrc=rss,2024-01-10,"Dollar trades in tight range ahead of key U.S. inflation releaseThe U.S. dollar edged lower Wednesday, trading in a tight range with traders on edge before key U.S. inflation data that could influence the future path of interest rates.  The dollar has rebounded from December’s 2% fall as the traders have chosen the new year to reassess the likely speed and magnitude of the interest rate cuts most expect the Federal Reserve to deliver in 2024.  The Fed's surprising dovish tilt in December has resulted in the market projecting around 150 basis points of cuts this year, but this is reliant on inflation continuing to retreat.",0
19,19,"Hacker Seized SEC Phone Number to Post Fake Bitcoin ETF Approval, X Says","The Securities and Exchange Commission (SEC) did not employ basic security measures on its X (formerly Twitter) account when it was ""compromised"" to spread false bitcoin ETF news, according to the social media company.",https://finance.yahoo.com/news/hacker-seized-sec-phone-number-043224468.html?.tsrc=rss,2024-01-10,"Hacker Seized SEC Phone Number to Post Fake Bitcoin ETF Approval, X SaysThe Securities and Exchange Commission (SEC) did not employ basic security measures on its X (formerly Twitter) account when it was ""compromised"" to spread false bitcoin ETF news, according to the social media company.",1
20,20,Did the Fake Bitcoin ETF Announcement Prove an SEC Approval Is a 'Sell-the-News' Event?,"The SEC's social media account was hacked to say the much-anticipated financial product was approved, perhaps answering the question of what will happen when it actually happens.",https://www.coindesk.com/consensus-magazine/2024/01/10/did-the-fake-bitcoin-etf-announcement-prove-an-sec-approval-is-a-sell-the-news-event/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Did the Fake Bitcoin ETF Announcement Prove an SEC Approval Is a 'Sell-the-News' Event?The SEC's social media account was hacked to say the much-anticipated financial product was approved, perhaps answering the question of what will happen when it actually happens.",0
21,21,Hedera-Based Tune.FM Raises $20M for Artist-Friendly Web3 Music Platform,Tune.FM provides musicians with a platform to receive micropayments for streaming in its native JAM token (JAM).,https://www.coindesk.com/web3/2024/01/10/hedera-based-tunefm-raises-20m-for-artist-friendly-web3-music-platform/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,Hedera-Based Tune.FM Raises $20M for Artist-Friendly Web3 Music PlatformTune.FM provides musicians with a platform to receive micropayments for streaming in its native JAM token (JAM).,2
22,22,We Tried Fox's Blockchain-Based Tool for Deepfake Detection. Here's How It Went,"Fox's new blockchain tool might not help consumers suss out deep fakes, but it could be a boon to publishers struggling to navigate the AI age. We kicked the tires on the new technology.",https://www.coindesk.com/tech/2024/01/10/we-tried-foxs-blockchain-based-tool-for-deepfake-detection-heres-how-it-went/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"We Tried Fox's Blockchain-Based Tool for Deepfake Detection. Here's How It WentFox's new blockchain tool might not help consumers suss out deep fakes, but it could be a boon to publishers struggling to navigate the AI age. We kicked the tires on the new technology.",0
23,23,Beyond the ETF: Crypto Innovations to Watch in 2024,"While most market watchers are focused on bitcoin ETFs at the moment, Decentralized Physical Infrastructure Networks (DePIN) and Real World Assets (RWA) hold a lot of long-term promise, says Colton Dillion, CEO of Hedgehog.",https://www.coindesk.com/markets/2024/01/10/beyond-the-etf-crypto-innovations-to-watch-in-2024/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Beyond the ETF: Crypto Innovations to Watch in 2024While most market watchers are focused on bitcoin ETFs at the moment, Decentralized Physical Infrastructure Networks (DePIN) and Real World Assets (RWA) hold a lot of long-term promise, says Colton Dillion, CEO of Hedgehog.",0
24,24,Making Sense of Web3’s Burgeoning AI Ecosystem,"Although the intersection of Web3 and AI has great potential, there is a lot of confusion about this emerging technology in the market today. Mapping out the GPU supply chain, layers of the tech stack, and various competitive landscapes can help investors better understand the ecosystem and make more informed investment decisions, says David Attermann, at M31 Capital.",https://www.coindesk.com/tech/2024/01/10/making-sense-of-web3s-burgeoning-ai-ecosystem/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Making Sense of Web3’s Burgeoning AI EcosystemAlthough the intersection of Web3 and AI has great potential, there is a lot of confusion about this emerging technology in the market today. Mapping out the GPU supply chain, layers of the tech stack, and various competitive landscapes can help investors better understand the ecosystem and make more informed investment decisions, says David Attermann, at M31 Capital.",0
25,25,Arthur Hayes Joins Decentralized AI platform Ritual,BitMEX co-founder Arthur Hayes has joined decentralized AI platform Ritual as an adviser with the aim of committing to the financialization of the AI industry.,https://www.coindesk.com/business/2024/01/10/arthur-hayes-joins-decentralized-ai-platform-ritual/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,Arthur Hayes Joins Decentralized AI platform RitualBitMEX co-founder Arthur Hayes has joined decentralized AI platform Ritual as an adviser with the aim of committing to the financialization of the AI industry.,2
26,26,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' Reference","Jokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain.",https://www.coindesk.com/tech/2024/01/10/bitcoin-etf-chaos-memorialized-on-blockchain-with-nod-to-chancellors-on-the-brink-reference/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' ReferenceJokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain.",1
27,27,"First Mover Americas: Ether, Lido DAO, Arbitrum Gain on Possibility of ETH ETF ","The latest price moves in bitcoin [BTC] and crypto markets in context for Jan. 10, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2024/01/10/first-mover-americas-ether-lido-dao-arbitrum-gain-on-possibility-of-eth-etf/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"First Mover Americas: Ether, Lido DAO, Arbitrum Gain on Possibility of ETH ETF The latest price moves in bitcoin [BTC] and crypto markets in context for Jan. 10, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",0
28,28,"BlackRock, ARK 21Shares Follow Rivals in Cutting Bitcoin ETF Fees","The SEC is expected to approve multiple ETFs at the same time, meaning the different providers will tussle for market share using fee structure as one of the main weapons.",https://www.coindesk.com/markets/2024/01/10/blackrock-ark-21shares-cut-bitcoin-etf-fees/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"BlackRock, ARK 21Shares Follow Rivals in Cutting Bitcoin ETF FeesThe SEC is expected to approve multiple ETFs at the same time, meaning the different providers will tussle for market share using fee structure as one of the main weapons.",0
29,29,Turkey Will Conclude Technical Studies for Crypto Legislation Soon: Finance Minister,"Under draft proposals, crypto firms will be required to obtain licenses from the country’s capital markets regulator.",https://www.coindesk.com/policy/2024/01/10/turkey-will-conclude-technical-studies-for-crypto-legislation-soon-finance-minister/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Turkey Will Conclude Technical Studies for Crypto Legislation Soon: Finance MinisterUnder draft proposals, crypto firms will be required to obtain licenses from the country’s capital markets regulator.",2
30,30,"Brevan Howard, Hamilton Lane Back New Tokenization Platform Libre","Freshly out of stealth, Libre is also working with Nomura’s Laser Digital unit and has been built using Polygon’s chain development kit by tokenization pioneer Avtar Sehra.",https://www.coindesk.com/business/2024/01/10/brevan-howard-hamilton-lane-back-new-tokenization-platform-libre/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Brevan Howard, Hamilton Lane Back New Tokenization Platform LibreFreshly out of stealth, Libre is also working with Nomura’s Laser Digital unit and has been built using Polygon’s chain development kit by tokenization pioneer Avtar Sehra.",2
31,31,Ether Jumps Over $2.4K as Traders Bet on Possible Ether ETF Next,"BlackRock had previously filed an S-1 form with the U.S. Securities and Exchange Commission (SEC) for its iShares Ethereum Trust, a spot ether exchange-traded fund (ETF).",https://www.coindesk.com/markets/2024/01/10/ether-jumps-over-24k-as-traders-bet-on-possible-ether-etf-next/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Ether Jumps Over $2.4K as Traders Bet on Possible Ether ETF NextBlackRock had previously filed an S-1 form with the U.S. Securities and Exchange Commission (SEC) for its iShares Ethereum Trust, a spot ether exchange-traded fund (ETF).",1
32,32,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF Approval,Just under half of the bitcoin supply was in profit at the start of last year.,https://www.coindesk.com/markets/2024/01/10/btc-supply-in-profit-nears-90-as-price-rallies-on-expected-bitcoin-etf-approval/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,BTC Supply in Profit Nears 90% as Price Rallies on Expected Bitcoin ETF ApprovalJust under half of the bitcoin supply was in profit at the start of last year.,1
33,33,Bitcoin Traders Seek Protection From Price Declines as ETF Deadline Looms: Deribit,"Puts are overbought and calls [are] being sold, Deribit's CCO Luuk Strijers told CoinDesk, noting the decline in the bitcoin implied volatility index.",https://www.coindesk.com/markets/2024/01/10/bitcoin-traders-seek-protection-from-price-declines-as-etf-deadline-looms-deribit/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Bitcoin Traders Seek Protection From Price Declines as ETF Deadline Looms: DeribitPuts are overbought and calls [are] being sold, Deribit's CCO Luuk Strijers told CoinDesk, noting the decline in the bitcoin implied volatility index.",2
34,34,Fake Bitcoin ETF Approval Tweet Causes $90M in Liquidations,"Those tweets caused bitcoin prices to immediately spike to $47,680 from the $46,800 level. It then fell as low as $45,400 as the tweets were found to be fake.",https://www.coindesk.com/markets/2024/01/10/fake-bitcoin-etf-approval-tweet-causes-90m-in-liquidations/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Fake Bitcoin ETF Approval Tweet Causes $90M in LiquidationsThose tweets caused bitcoin prices to immediately spike to $47,680 from the $46,800 level. It then fell as low as $45,400 as the tweets were found to be fake.",1
35,35,"Binance, KuCoin, Other Exchanges, Served Notice by Indian Government Removed From Apple’s App Store","Apple has removed Binance, KuCoin and other offshore cryptocurrency exchanges from its India app store days after nine such entities were sent compliance show cause notices by the Indian government.",https://www.coindesk.com/policy/2024/01/10/binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-store/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Binance, KuCoin, Other Exchanges, Served Notice by Indian Government Removed From Apple’s App StoreApple has removed Binance, KuCoin and other offshore cryptocurrency exchanges from its India app store days after nine such entities were sent compliance show cause notices by the Indian government.",1
36,36,Crypto OTC Volumes on Wintermute Soared 400% in 2023,The market maker said the uptick in over-the-counter trading was due to volumes moving off-exchange.,https://www.coindesk.com/markets/2024/01/10/crypto-otc-volumes-on-wintermute-soared-400-in-2023/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,Crypto OTC Volumes on Wintermute Soared 400% in 2023The market maker said the uptick in over-the-counter trading was due to volumes moving off-exchange.,1
37,37,PayPal's Stablecoin Part of Third Largest Liquidity Pool on Curve,"Curve's FRAXPYUSD liquidity pool, which went live on Dec. 27, boasts the third largest TVL of $135 million.",https://www.coindesk.com/markets/2024/01/10/paypals-stablecoin-part-of-third-largest-liquidity-pool-on-curve/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"PayPal's Stablecoin Part of Third Largest Liquidity Pool on CurveCurve's FRAXPYUSD liquidity pool, which went live on Dec. 27, boasts the third largest TVL of $135 million.",0
38,38,"Hacker Seized SEC Phone Number to Post Fake Bitcoin ETF Approval, X Says","The Securities and Exchange Commission (SEC) did not employ basic security measures on its X (formerly Twitter) account when it was ""compromised"" to spread false bitcoin ETF news, according to the social media company.",https://www.coindesk.com/policy/2024/01/10/hacker-seized-sec-phone-number-to-post-fake-bitcoin-etf-approval-x-says/?utm_medium=referral&utm_source=rss&utm_campaign=headlines,2024-01-10,"Hacker Seized SEC Phone Number to Post Fake Bitcoin ETF Approval, X SaysThe Securities and Exchange Commission (SEC) did not employ basic security measures on its X (formerly Twitter) account when it was ""compromised"" to spread false bitcoin ETF news, according to the social media company.",1
